# 4-gaussian kernel fit
# initial parameters: I=3.00e-04/3.00e-03/3.00e-04/1.00e-04, sigma=5.00e+00/5.00e+00/5.00e+00/5.00e+00, center=0.00e+00/5.00e+00/2.00e+01/2.00e+01
# final parameters  : I=1.17e-04/2.99e-03/1.53e-04/2.05e-04, sigma=4.49e+00/4.97e+00/2.84e+00/1.39e+01, center=-7.64e+00/7.20e+00/2.22e+01/7.77e+00
# RMSE(death vs kernel*case) = 2.95e+00
# time-pt , kernel  , kfitted , deaths  , dfitted 
1.01e+02, 1.58e-07, 3.42e-14, 1.20e+01, 1.18e+01
1.02e+02, 6.39e-08, 2.10e-14, 1.00e+01, 1.01e+01
1.03e+02, -2.22e-08, 1.29e-14, 9.00e+00, 8.59e+00
1.04e+02, -8.29e-08, 7.84e-15, 7.00e+00, 7.34e+00
1.05e+02, -1.10e-07, 4.75e-15, 6.00e+00, 6.26e+00
1.06e+02, -1.06e-07, 2.86e-15, 5.00e+00, 5.33e+00
1.07e+02, -7.81e-08, 1.72e-15, 5.00e+00, 4.54e+00
1.08e+02, -3.84e-08, 1.02e-15, 4.00e+00, 3.87e+00
1.09e+02, 1.46e-09, 6.07e-16, 3.00e+00, 3.29e+00
1.10e+02, 3.23e-08, 3.59e-16, 3.00e+00, 2.80e+00
1.11e+02, 4.90e-08, 2.11e-16, 2.00e+00, 2.39e+00
1.12e+02, 5.10e-08, 1.23e-16, 2.00e+00, 2.03e+00
1.13e+02, 4.08e-08, 7.15e-17, 2.00e+00, 1.72e+00
1.14e+02, 2.36e-08, 4.14e-17, 1.00e+00, 1.46e+00
1.15e+02, 4.61e-09, 2.38e-17, 1.00e+00, 1.24e+00
1.16e+02, -1.14e-08, 1.36e-17, 1.00e+00, 1.05e+00
1.17e+02, -2.14e-08, 7.75e-18, 1.00e+00, 8.93e-01
1.18e+02, -2.45e-08, 4.39e-18, 1.00e+00, 7.56e-01
1.19e+02, -2.14e-08, 2.47e-18, 1.00e+00, 6.38e-01
1.20e+02, -1.42e-08, 1.39e-18, 1.00e+00, 5.38e-01
1.21e+02, -5.29e-09, 7.74e-19, 0.00e+00, 4.53e-01
1.22e+02, 2.97e-09, 4.29e-19, 0.00e+00, 3.80e-01
1.23e+02, 8.88e-09, 2.37e-19, 0.00e+00, 3.19e-01
1.24e+02, 1.16e-08, 1.30e-19, 0.00e+00, 2.66e-01
1.25e+02, 1.13e-08, 7.10e-20, 0.00e+00, 2.22e-01
1.26e+02, 8.52e-09, 3.86e-20, 0.00e+00, 1.84e-01
1.27e+02, 4.45e-09, 2.09e-20, 0.00e+00, 1.53e-01
1.28e+02, 1.93e-10, 1.12e-20, 0.00e+00, 1.26e-01
1.29e+02, -3.33e-09, 6.00e-21, 0.00e+00, 1.04e-01
1.30e+02, -5.51e-09, 3.20e-21, 0.00e+00, 8.53e-02
